RC-DFA VAE — cProfile (first 3 batches of epoch 1)
Platform : Windows-10-10.0.26200-SP0
Python   : 3.10.6
PyTorch  : 2.12.0.dev20260407+cu128
Device   : CPU (forced)
Batch sz : 64

--- Sorted by cumulative time ---
         11367 function calls (11100 primitive calls) in 10.485 seconds

   Ordered by: cumulative time
   List reduced from 207 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.125    0.042   10.485    3.495 C:\Users\mohal\OneDrive\Desktop\ece510\tiled\tiled_profile.py:852(train_step)
       57    0.006    0.000    8.737    0.153 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\utils\_contextlib.py:120(decorate_context)
       12    6.054    0.504    8.359    0.697 C:\Users\mohal\OneDrive\Desktop\ece510\tiled\tiled_profile.py:307(get_feedback_map)
      195    1.130    0.006    1.130    0.006 {built-in method torch.tanh}
      183    1.126    0.006    1.126    0.006 {built-in method torch._C._nn.avg_pool2d}
        3    0.000    0.000    0.582    0.194 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\_tensor.py:576(backward)
        3    0.000    0.000    0.582    0.194 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\autograd\__init__.py:253(backward)
        3    0.000    0.000    0.582    0.194 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\autograd\graph.py:869(_engine_run_backward)
        3    0.582    0.194    0.582    0.194 {method 'run_backward' of 'torch._C._EngineBase' objects}
       66    0.000    0.000    0.502    0.008 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\module.py:1774(_wrapped_call_impl)
       66    0.001    0.000    0.502    0.008 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\module.py:1782(_call_impl)
      243    0.005    0.000    0.477    0.002 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\functional.py:176(einsum)
      243    0.471    0.002    0.471    0.002 {built-in method torch.einsum}
       12    0.017    0.001    0.416    0.035 C:\Users\mohal\OneDrive\Desktop\ece510\tiled\tiled_profile.py:326(compute_weight_gradient)
        3    0.001    0.000    0.391    0.130 C:\Users\mohal\OneDrive\Desktop\ece510\tiled\tiled_profile.py:537(decode)
       15    0.034    0.002    0.352    0.023 C:\Users\mohal\OneDrive\Desktop\ece510\tiled\tiled_profile.py:406(get_error_signal)
       27    0.319    0.012    0.319    0.012 {built-in method torch.conv_transpose2d}
       12    0.000    0.000    0.271    0.023 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\conv.py:1169(forward)
        3    0.002    0.001    0.195    0.065 C:\Users\mohal\OneDrive\Desktop\ece510\tiled\tiled_profile.py:567(get_encoder_layer_inputs)
      696    0.147    0.000    0.147    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
       21    0.000    0.000    0.140    0.007 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\conv.py:564(forward)
       21    0.000    0.000    0.140    0.007 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\conv.py:546(_conv_forward)
       21    0.140    0.007    0.140    0.007 {built-in method torch.conv2d}
       21    0.000    0.000    0.072    0.003 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\modules\batchnorm.py:176(forward)
       21    0.000    0.000    0.070    0.003 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\functional.py:2811(batch_norm)
       21    0.069    0.003    0.069    0.003 {built-in method torch.batch_norm}
        9    0.058    0.006    0.058    0.006 {built-in method torch.cat}
       27    0.000    0.000    0.052    0.002 C:\Users\mohal\OneDrive\Desktop\ece510\venv\lib\site-packages\torch\nn\functional.py:5374(pad)
       27    0.052    0.002    0.052    0.002 {built-in method torch._C._nn.pad}
