Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,1906
design__instance__area,14537.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0018253570888191462
power__switching__total,0.0017005116678774357
power__leakage__total,1.4768012590593571E-8
power__total,0.003525883425027132
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25956773576335995
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2611488599285971
timing__hold__ws__corner:nom_tt_025C_1v80,0.367948903982248
timing__setup__ws__corner:nom_tt_025C_1v80,2.535999926281189
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.367949
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,10
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2617256763173546
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2643230986680765
timing__hold__ws__corner:nom_ss_100C_1v60,0.9772215535595472
timing__setup__ws__corner:nom_ss_100C_1v60,-2.488212373236119
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-58.46593774601849
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.488212373236119
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.977222
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,45
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25803054867556496
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2592068022478464
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12484602593991762
timing__setup__ws__corner:nom_ff_n40C_1v95,4.48702376843234
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.124846
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2566279761333129
clock__skew__worst_setup,0.25754674122332594
timing__hold__ws,0.12187118326130021
timing__setup__ws,-2.624810665335583
timing__hold__tns,0.0
timing__setup__tns,-62.121573643482286
timing__hold__wns,0
timing__setup__wns,-2.624810665335583
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121871
timing__hold_r2r_vio__count,0
timing__setup_vio__count,134
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 150.0 150.0
design__core__bbox,5.52 10.88 144.44 138.72
design__io,124
design__die__area,22500
design__core__area,17759.5
design__instance__count__stdcell,1906
design__instance__area__stdcell,14537.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.818585
design__instance__utilization__stdcell,0.818585
design__instance__count__class:inverter,31
design__instance__count__class:sequential_cell,96
design__instance__count__class:multi_input_combinational_cell,1295
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,874
design__instance__count__class:tap_cell,245
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,122
design__io__hpwl,5305133
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31006.1
design__violations,0
design__instance__count__class:timing_repair_buffer,223
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,7
design__instance__count__setup_buffer,16
design__instance__count__hold_buffer,21
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1696
route__net__special,2
route__drc_errors__iter:1,565
route__wirelength__iter:1,34683
route__drc_errors__iter:2,463
route__wirelength__iter:2,34504
route__drc_errors__iter:3,315
route__wirelength__iter:3,34430
route__drc_errors__iter:4,0
route__wirelength__iter:4,34323
route__drc_errors,0
route__wirelength,34323
route__vias,11261
route__vias__singlecut,11261
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,244.69
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25797195665378325
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2591663068618779
timing__hold__ws__corner:min_tt_025C_1v80,0.3634563863860452
timing__setup__ws__corner:min_tt_025C_1v80,2.6121079372177745
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.363456
