# M3 Reference Values -- RC-DFA Reservoir Model (FP32)
# N_IN=64 N_RES=128 N_OUT=64 T=20

  ch      fb_out (float)  hex
------------------------------------------
   0   +5.8250528574e-01  3f151f11
   1   +2.3644556105e-01  3e721ec9
   2   -4.2559006810e-01  bed9e6f1
   3   +2.1999654174e-01  3e6146c6
   4   +2.6958562434e-02  3cdcd834
   5   +4.4902929664e-01  3ee5e72b
   6   +2.2036504745e-01  3e61a760
   7   +2.4160605669e-01  3e776794
   8   -2.9875639081e-01  be98f699
   9   -1.8031129241e-01  be38a386
  10   +5.1022994518e-01  3f029e6e
  11   -5.1796543598e-01  bf049962
  12   -2.9547536373e-01  be97488c
  13   -7.1576520801e-02  bd9296b6
  14   +3.8574066013e-02  3d1dffd7
  15   -5.9181624651e-01  bf178145
  16   -1.5227772295e-02  bc797de8
  17   +6.1907571554e-01  3f1e7bbf
  18   -2.6265910268e-01  be867b41
  19   +3.6898348480e-03  3b71d128
  20   -1.0957854986e-01  bde06ab8
  21   +2.5846856833e-01  3e8455fe
  22   -3.9413982630e-01  bec9ccb2
  23   +2.9712188244e-01  3e98205c
  24   +4.1264504194e-01  3ed34636
  25   +3.4518817067e-01  3eb0bc81
  26   +9.3394771218e-02  3dbf45c2
  27   -3.7804812193e-01  bec18f86
  28   -6.7642638460e-03  bbdda6c2
  29   +5.5617429316e-02  3d63cf1a
  30   -2.4320897460e-01  be790bc6
  31   -1.9780440629e-01  be4a8d3d
  32   -6.0323184729e-01  bf1a6d67
  33   -1.0115578026e-01  bdcf2ac3
  34   +3.1369578838e-01  3ea09cbc
  35   +2.3756355047e-01  3e7343dc
  36   +1.3691239059e-01  3e0c32c3
  37   -5.5199205875e-01  bf0d4f5a
  38   -1.7342093587e-01  be319542
  39   -2.1036293358e-02  bcac544e
  40   -1.1016140133e-01  bde19c4d
  41   -7.7683307230e-02  bd9f186d
  42   +8.8459149003e-02  3db52a12
  43   +2.9974439740e-01  3e997819
  44   +2.6362964511e-01  3e86fa77
  45   +1.1269009858e-01  3de6ca11
  46   -2.5729525089e-01  be83bc34
  47   -5.8327651024e-01  bf15519c
  48   -4.1878162883e-03  bb8939f3
  49   -1.7527337372e-01  be337add
  50   +2.4317331612e-01  3e79026d
  51   +3.9460217953e-01  3eca094c
  52   +3.2402727008e-01  3ea5e6e7
  53   +3.2262822986e-01  3ea52f87
  54   -1.0958953202e-01  bde0707a
  55   +2.3988407850e-01  3e75a42c
  56   -2.6613944769e-01  be88436e
  57   -4.1045027971e-01  bed2268a
  58   -5.6838417053e-01  bf1181a0
  59   +4.0542986244e-02  3d261067
  60   -3.7099521607e-02  bd17f5ab
  61   -1.3978326321e-01  be0f2358
  62   -5.1386308670e-01  bf038c88
  63   -4.2378059030e-01  bed8f9c5
